SecurityID,VOLUME_RATIO,ACT,L_ACT,M_ACT,S_ACT,X_ACT,XLS_ORDER_RATIO,L_ORDER_RATIO,M_ORDER_RATIO,S_ORDER_RATIO
000001.SZ,1.8542412135,-0.2618373765,-0.3132119779,-0.2041996538,-0.3496492929,-0.6341464199,0.1759673023,0.3440281028,0.2994289877,0.1805756072
000002.SZ,3.6755724793,-0.4218396680,-0.4527660524,-0.3925760237,-0.1308833276,-0.5800243817,0.1907585657,0.2792762560,0.3094902753,0.2204749029
000004.SZ,1.4373768646,-0.0386672056,-0.2230292894,-0.0083466624,0.0115877410,0.0000000000,0.0000000000,0.1961133553,0.4843875238,0.3194991209
000006.SZ,1.1684504821,-0.0736923426,-0.0676262113,-0.0784974211,-0.0684154795,-0.5340407990,0.0450686263,0.2889369862,0.3574956964,0.3084986911
000007.SZ,3.0539586664,-0.0896390617,-0.2322136386,-0.0345787107,-0.1162280816,0.0000000000,0.0691082143,0.2140932297,0.3650483000,0.3517502560
000008.SZ,2.7324352304,-0.4026666878,-0.4398054236,-0.3753059095,-0.4038392096,-0.4148047993,0.0991926779,0.2312883548,0.3017796054,0.3677393619
000009.SZ,2.7843792918,-0.0706646861,-0.1017555297,-0.0441544473,0.1094572431,-0.4241674026,0.1287151458,0.2795968263,0.3013109744,0.2903770535
000010.SZ,0.8750330042,-0.2587433993,-0.3649725661,-0.1540402504,-0.1525504248,-1.0000000000,0.0691408402,0.2175987682,0.3127807500,0.4004796416
000011.SZ,1.3954262009,-0.0794947405,0.4122651829,-0.2421770800,-0.1293815605,0.0000000000,0.0234009440,0.1165328964,0.4251049338,0.4349612257
000012.SZ,2.4263607249,-0.0983406859,0.1860284972,-0.2349048803,-0.2865576498,1.0000000000,0.0275558830,0.1312585307,0.3009760339,0.5402095524
000014.SZ,1.3730151768,-0.0756661763,-0.1917231995,-0.0257685119,-0.0304373518,-1.0000000000,0.0503254449,0.2319008881,0.3388197010,0.3789539660
000016.SZ,0.9703406970,0.1685400652,0.2289836960,0.1152866798,-0.1514812657,0.7786793879,0.0777623183,0.2365503444,0.3337708375,0.3519164998
000017.SZ,6.6279277423,-0.3418581020,-0.4081209630,-0.3034363447,0.0189448454,-1.0000000000,0.0229098258,0.2163420778,0.3310329318,0.4297151645
000019.SZ,6.5090929058,-0.1662525223,-0.1324116687,-0.1877121144,0.0343420511,-1.0000000000,0.0238852270,0.2299468980,0.3539095199,0.3922583551
000020.SZ,14.8605400430,-0.1244030770,-0.1161047947,-0.1284598058,-0.0905571917,0.4451192141,0.1492292329,0.1830297757,0.3227947082,0.3449462832
000021.SZ,2.2962570377,-0.1009751701,-0.1514811820,-0.0521927015,-0.0315894915,-0.1959975929,0.1176767244,0.2728252153,0.3278594734,0.2816385869
000025.SZ,3.3443125560,-0.3442995172,-0.3845335895,-0.3210944546,-0.0756740764,-0.7209310472,0.1136121716,0.2184781542,0.3339179142,0.3339917600
000026.SZ,3.5242954325,0.0218814603,0.3372291294,-0.0745991820,-0.0543953421,0.0000000000,0.0247294164,0.2306496375,0.3816564619,0.3629644841
000027.SZ,2.0880759936,-0.4818628922,-0.7071220804,-0.2547235230,-0.3522633876,-1.0000000000,0.1083277458,0.2724336053,0.3179839874,0.3012546615
000028.SZ,3.3282858873,-0.3272261429,-0.7281741745,-0.1574207502,-0.4029680750,-1.0000000000,0.0615237160,0.1967139904,0.3161584583,0.4256038353
000029.SZ,0.4381090845,0.0448219178,0.1071776029,0.0091506006,-0.0770489909,0.2541285911,0.3674724022,0.2223899744,0.2028367131,0.2073009102
